text,label
"Truyện Kiều, quốc hồn của văn học Việt Nam, tác phẩm duy nhất đủ khả năng đưa tiếng Việt lên một đỉnh cao mới trong văn học trung đại.",Vietnamese
"Với cái tâm của một người nghệ sĩ có “con mắt nhìn suốt sáu cõi, tấm lòng nghĩ suốt nghìn đời”, ông đã tạo nên những trang văn thấm đẫm tinh thần nhân đạo và hiện thực sâu sắc.",Vietnamese
"Cái đau, cái thương lẩn khuất trong hồn văn của ông, khiến mỗi dòng thơ Nguyễn Du viết ra đều như được chắt từ chính sự thống khổ của bản thân.",Vietnamese
Thẩm mỹ tả cảnh ngụ tình là một thi pháp quen thuộc trong văn học trung đại.,Vietnamese
"Đặc trưng của văn học trung đại là sùng cổ, phi ngã và ước lệ.",Vietnamese
"Tả cảnh ngụ tình, tức là mượn cảnh để gửi gắm tâm trạng của nhân vật trữ tình.",Vietnamese
"Ông là người chịu ảnh hưởng mạnh mẽ bởi Nho giáo với các tư tưởng nhân nghĩa và tư tưởng phụng mệnh trời, bên cạnh đó ông còn nổi bật với tư tưởng nhân dân mới mẻ.",Vietnamese
Cảnh ngày hè được viết theo thể thơ thất ngôn Đường luật.,Vietnamese
"Mà ở thơ của Nguyễn Trãi vạn vật vẫn căng tràn sức sống, trào dâng thành hương sắc âm thanh, náo nhiệt rộn rã tươi thắm trong buổi chiều tàn.",Vietnamese
"Không chỉ vậy “tán rợp giương” còn gợi ra hình ảnh xum xuê, xanh tốt của tán cây hòe, chúng mạnh mẽ vươn ra phủ kín cả một khoảng không rộng lớn.",Vietnamese
Một điều đặc sắc nữa của bài thơ là tác giả đã căng mở tất cả các giác quan để cảm nhận một cách tinh tế và tái hiện một cách xuất thần vẻ đẹp của bức tranh thiên nhiên cuộc sống.,Vietnamese
"Mà còn nhìn nhận được tấm lòng thiết tha của tác giả dành cho vận mệnh đất nước, vận mệnh dân tộc.",Vietnamese
Anh thanh niên là nhân vật trung tâm của bức tranh Sa Pa lặng lẽ.,Vietnamese
"Ngợi ca những con người lao động, hi sinh thầm lặng để cống hiến sức mình cho quê hương, đất nước.",Vietnamese
Nhân vật chính trong truyện là anh thanh niên làm công tác khí tượng kiêm vật lý địa cầu.,Vietnamese
"Suy nghĩ và việc làm của anh thể hiện một vẻ đẹp tâm hồn, một tính cách của thế hệ thanh niên.",Vietnamese
Sức thu hút của anh chính là ở thái độ và những suy nghĩ về cuộc sống và công việc của một người sống và làm việc một mình giữa lặng lẽ của thiên nhiên.,Vietnamese
"Đặt nhân vật vào hoàn cảnh thơ mộng mà gian khổ, lãng mạn mà đầy thử thách.",Vietnamese
"Được biết từ việc báo tin về một đám mây khô của anh mà bộ đội ta bắn rơi máy bay địch trên cầu Hàm Rồng, anh thấy thật hạnh phúc.",Vietnamese
"Tinh thần trách nhiệm đã là động lực chính để anh một mình sống, làm việc tận tụy, để anh hiểu được hạnh phúc là làm việc, là cống hiến.",Vietnamese
"Đó là những suy nghĩ sâu sắc, nghiêm túc về nghề nghiệp và về công việc.",Vietnamese
Tình yêu nghề đã làm anh không thấy cô đơn dù một mình anh giữa Sa Pa quanh năm với cây cỏ và mây mù.,Vietnamese
"Anh đã chiến thắng nỗi cô đơn, sự vắng vẻ, chiến thắng hoàn cảnh bằng một cách sống thật nghiêm túc mà cũng thật lãng mạn.",Vietnamese
"Đó là ngôi nhà ba gian với cuộc đời riêng của anh thanh niên thu gọn lại một góc trái gian với chiếc giường con, một bàn học một giá sách.",Vietnamese
"Hồ Chí Minh là một cái tên mà tất cả con dân Việt Nam đều ghi tạc trong tim với một lòng yêu quý, kính trọng vô bờ bến.",Vietnamese
